UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
oscread+  1451     1  1454  0    3 10:44 ?        00:00:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.9 /org/gtk/gvfs/exec_spaw/1
oscread+  1456     1  1456  0    2 10:44 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
oscread+  1456     1  1457  0    2 10:44 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
oscread+  1490     1  1490  0    3 10:45 ?        00:00:00 /usr/lib/dconf/dconf-service
oscread+  1490     1  1491  0    3 10:45 ?        00:00:00 /usr/lib/dconf/dconf-service
oscread+  1490     1  1492  0    3 10:45 ?        00:00:00 /usr/lib/dconf/dconf-service
oscread+  1494     1  1494  0    4 10:45 ?        00:00:03 /usr/lib/gnome-terminal/gnome-terminal-server
oscread+  1494     1  1495  0    4 10:45 ?        00:00:00 /usr/lib/gnome-terminal/gnome-terminal-server
oscread+  1494     1  1496  0    4 10:45 ?        00:00:00 /usr/lib/gnome-terminal/gnome-terminal-server
oscread+  1494     1  1499  0    4 10:45 ?        00:00:00 /usr/lib/gnome-terminal/gnome-terminal-server
oscread+  1497  1494  1497  0    1 10:45 ?        00:00:00 gnome-pty-helper
oscread+  1498  1494  1498  0    1 10:45 pts/0    00:00:00 bash
oscread+  1827     1  1827  0    4 10:53 ?        00:00:06 /usr/bin/gedit --gapplication-service
oscread+  1827     1  1828  0    4 10:53 ?        00:00:00 /usr/bin/gedit --gapplication-service
oscread+  1827     1  1829  0    4 10:53 ?        00:00:00 /usr/bin/gedit --gapplication-service
oscread+  1827     1  1830  0    4 10:53 ?        00:00:00 /usr/bin/gedit --gapplication-service
root      1857     2  1857  0    1 10:59 ?        00:00:00 [kworker/0:0]
root      2199     2  2199  0    1 11:04 ?        00:00:00 [kworker/0:2]
oscread+  2209  1498  2209  0    1 11:07 pts/0    00:00:00 ps -eLf
